SPANISH,ENGLISH,ETYMON_GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
abanico,,FAN,1971,FAN (OBJECT)
abeja,,,665,BEE
abeja,,ANIMAL,665,BEE
abeja; miel de colmena,,WASP,,
abeja; miel,,WASP,,
"abeja, ronro*n",,WASP,,
abeja,,WASP,665,BEE
abejo*n,,WASP,,
abejorro,,WASP,,
abiertas las piernas,,,,
abiertas las piernas,,TWIST,,
abierto [de boca],,YAWN,,
abierto/destapado (puerta/botella),,BREAK,,
abierto,,OPEN,3235,OPEN (STATE)
abierto,,YAWN,3235,OPEN (STATE)
ablandar,,SOFT,,
aborto,,,,
"above, up",,OVER,,
abrazar,,"CARRY, LOAD",,
abrazarlo [ETR],,"CARRY, LOAD",,
abridor,,BREAK,,
abrigo (algo para protegerse),,CLOTHING; COTTON,,
"abrigo, chamarro",,CLOTHING; COTTON,,
abrir,,,1156,OPEN
abrir,,BREAK,1156,OPEN
abrir (caja),,FACE.UP,,
abrir (caja),,GOURD,,
abrir,,FACE.UP,1156,OPEN
abrir la boca,,YAWN,,
abrir las piernas,,TWIST,,
abrir,,LOOSEN,1156,OPEN
"abrirlo [red, costal] [ERH,-ETR]",stretch out cloth/mouth_of_bag [ETR],SPREAD,,
abrir manaca [ETR],,BREAK,,
abrir trompa de costal para echar,,SPREAD,,
abrir vaina de legumbre,,BREAK,,
"abstencio*n, penitencia, ayuno",,,,
abuela,,FEMALE CONNECTED KIN,1496,GRANDMOTHER
abuel[it]a,,MOTHER,,
abuelo,,,1383,GRANDFATHER
"abuelo, duen*o, patro*n, jefe",,FATHER,,
abuelo [ETR],,SIBLINGS,1383,GRANDFATHER
"abuelo, nieto",,,,
"abuelo, nieto/a de hombre",,,,
"(a)bultado, hinchado [ETR]",,SWELL,,
abultarse [estomago] [ETR],,SWELL,,
abundar,,,,
abundo*,,,,
abundo*,,GROW,,
abundo*,,TRADE,,
acabar,,END,,
acabarse,,,,
acabarse; terminar [ETR] [ERH],,,,
acabarse; terminar [ETR] [ERH],,CUT,,
"acabarse, terminarse",,END,,
acarrearlo,,TAKE,,
acarreo* (agua),,"CARRY, LOAD",,
"acedado, hinchado",,SWELL,,
"a*cedo, amargo",,SOUR,,
a*cedo,,PAIN,,
ac*edo,,PAIN,,
ace*do,,SOUR,,
aceite,,,1484,OIL (ORGANIC SUBSTANCE)
acepto*,,,,
acepto*,,ANSWER,,
acepto*,,NOT to TAKE,,
achiote,,ANNATTO,349,ACHIOTE
achiote: es rojo [ETR] [ERH],,ANNATTO,,
a*cido,,TASTELESS,,
aclararse,,WHITE,,
,a close relative,,,
,a cold; snot,SNOT,,
acompan*ar,,,,
aconsejar,,,,
aconsejar,,ANSWER,,
aconsejarle,,ANSWER,,
acordado,,"THINK, KNOW",,
"acordarlo [ETR], [ERH,-ETR]",,"THINK, KNOW",,
"acordarlo un tantito [ERH,-ETR]",,"THINK, KNOW",,
acordar mucho con tristeza,,"THINK, KNOW",,
acordarse [ETR],,,,
acordarse [ETR],,HEAR,,
"acortarlo [ERH,-ETR]",,LITTLE,,
acostado,,LYING,1411,LIE (REST)
acostado patas/manos alzadas,,PUSH,,
acostado,,"ROLL, WRAP",1411,LIE (REST)
acostumbrar,,,,
acostumbrarlo [ERH],,,,
acostumbrarse,,,,
acostumbrarse [from GCh'olan],,,,
"acostumbrarse, hallarse",,,,
acostumbrarse,,TRADE,,
acostumbrase,,,,
"acuclillado, acurrucado",,TWIST,,
acurrucado,,HOOK,,
[a]currucado,,squat(ting),,
acurrucado,,TWIST,,
,adam's apple [ETR],NECK,,
,address term for older male,FATHER,,
"adelante, en medio [ETR]",,UNDER,,
adentro,,,,
"adentro, interior",,,,
a (dirigido a...),,,,
adivino,,SLEEP,,
adivino,,SUN,,
adivino,,"THINK, KNOW",,
adivino,,WITCHCRAFT,,
adobe,,,901,ADOBE
"adobe [ERH,-ETR]",,,901,ADOBE
adobe [ERH],,MUD,901,ADOBE
adobe,,MUD,901,ADOBE
"adobe, pared",,MUD,,
(a)dormecerlo [ETR],,SLEEP,,
adormecerlo,,SLEEP,,
adormecer,,SLEEP,,
"adornar, vestir bien",,WORK,,
,a drunk [ETR]; drinker [ERH],DRINK,,
aduen*arse de ello [ERH],,,,
adv,,,,
a escondidas,,HIDE,,
a escondidas,,THEFT,,
"(a)famarlo [ERH,-ETR]",,NOT GOOD,,
afear,,WITCHCRAFT,,
,[a fold?; with more than one layer of clothing],BEND,,
"afuera, exterior",,BACK,,
afuera,,TOWN,,
"[a]gachado, acurrucado",,CRAWL,,
agachado,,BEND,,
agachado,,CRAWL,,
agachado,,HOOK,,
again,,,,
agarrar,,,2021,GRASP
agarrar,,CLENCH,2021,GRASP
agarrar,,GRAB,2021,GRASP
"agarrar, pescar",,GRAB,,
agitation,,MOVE,,
agradable,,AWAKE,,
"agrio, a*cedo, rancio",sour,SOUR,,
"agrio, a*cedo",sour,SOUR,,
"agrio*, a*cido",,SOUR,,
agrio,,SOUR,1906,SOUR
agua,,,948,WATER
aguacate,,AVOCADO,3725,AVOCADO
aguacate [ETR],,AVOCADO,3725,AVOCADO
aguacate oloroso,,AVOCADO,,
aguacatillo,,AVOCADO,,
"aguacero (""agua de rayo"")",,THUNDER,,
aguacero,,RAIN,,
agua clara,,,,
aguado; no macizo,,GENITALS,,
agua en algunas maneras de decir,,THUNDER,,
agua hacer ruido cayendo; oirse que corre bien la sierra [in sawmill],,LOOSEN,,
"aguantarlo, durar",,AWAKE,,
"aguanto*, sufrio*",,PAIN,,
"agua, ri*o",,,,
"agu*ero, adivinacio*n",,WITCHCRAFT,,
agu*ero,,WITCHCRAFT,,
a*guila (bice*fala),,HAWK,,
"a*guila, de dos cabezas",,HAWK,,
"a*guila, gavila*n",,HAWK,,
a*guila,,HAWK,,
aguilucho,,HAWK,,
aguja,,,1382,NEEDLE (FOR SEWING)
aguja,,SEW,1382,NEEDLE (FOR SEWING)
agujero,,BALL-SHAPED,1667,HOLE
agujero [ETR] [ERH],,,,
ahijado,,,,
ahogar,,CHOKE,1904,DROWN
ahogar(se),,CHOKE,,
ahogarse,,CHOKE,129,CHOKE
,a hundred,,,
aire,,,27,AIR
aire (enf.); viento,,WIND,,
aire [ERH],,WIND,,
"aire, viento; ""aire"" [enf.]",,WIND,,
"aire, viento, olor",,WIND,,
"aire, viento",,WIND,960,WIND
,"air, wind",WIND,960,WIND
aj (adv?) temprano [ETR],,EARLY,,
aj (<-*ip)lleno,,FULL,,
ajonjoli*,,SQUASH,,
aj (+ subj),"short, low [ETR]",STANDING,,
aj + subj,squinting [ETR],CLOSE.EYES,,
"ajustar, alcanzar",,MOULD,,
alacra*n [ETR],,SCORPION,1538,SCORPION
alacra*n,,SCORPION,1538,SCORPION
a la derecha,,,,
a la derecha,,FULL,,
a la derecha,,NOT GOOD,,
a la derecha,,straight,,
ala [ETR],,WING,1257,WING
a la izquierda,,SIDE,,
a*lamo,,SYCAMORE,,
ala; pluma de pa*jaro,,WING,,
"ala, pluma",,WING,,
a la redonda,,GO.BACK,,
ala,,WING,1257,WING
alban*il,,MOULD,,
alcanzo* (fue suficiente),,,,
alcanzo* (fue suficiente),,GRAB,,
alcanzo* (fue suficiente),,MAKE,,
alcanzo* (fue suficiente),,MOULD,,
alegri*a,,,,
alegri*a,,SMELL,,
alejarse [ERH],,LONG,,
aletear,,"FLY, JUMP",,
"algodo*n, carnero",,CLOTHING; COTTON,,
algodo*n,,CLOTHING; COTTON,,
algodo*n; hilo,,CLOTHING; COTTON,,
algo para amarrar [ERH],,TIE,,
"alguien, alguno",,,,
"alguien, alguno",,MIDDLE,,
"alguien, alguno",,ONE,,
aliento,breath,REST,,
"aliento, ""fuelgo""",,WIND,,
alimento,,EAT,,
"alinear, explicar",,STRAIGHTEN,,
alinear,,STRAIGHTEN,,
alistar,,GRAB,,
alistarse [ERH],,CHANGE,,
,a little,,,
,alive,AWAKE,1422,BE ALIVE
"aliviarse, salvarse [a woman of birth-pangs]",,,,
aljaba (arma antigua),,BLOWGUN,,
alla*,,,,
alla* arriba,,SKY,,
alla*,,distal,,
al lado,,CORNER,,
al lado,,EAR,,
al lado,,SIDE,,
alli*,,,,
"alli*, alla*",,,,
"alli*, aquel",,,,
alli*,,distal,,
alli*,there,BE.THERE,1937,THERE
alma,,,811,SOUL
alma*cigo de [cafe...,,,,
"alma, espi*ritu",,,,
"alma, espi*ritu",,REST,,
alma,,SUN,811,SOUL
"'alocado', medio idiota [ERH]",,,,
"alojar, hospedar",,SLEEP,,
(a lo) largo,,,,
al otro lado,,,,
alquila,,DEBT,,
alrededor de,,BACK,,
alrededor de,,GO.BACK,,
alto,,BIG its FOOT = tall,2790,HIGH OR TALL
alto [gente] [ETR],"high, tall [ETR]",SKY,,
alto [gente] [ETR],"high, tall [ETR]",STANDING,,
alto,,SKY,2790,HIGH OR TALL
"altura, taman*o, superficie",,STANDING,,
alumbrar,,BURN,,
alumbrarse; tener color/forma,,,,
alzar,,,,
amado,,,,
amanecer temprano,,WHITE,,
amanecer,,WHITE,729,DAWN
amaneciendo [ETR],,WHITE,,
Amaranthus [TK2003],,PIGWEED ,,
amargar bien [agua] [ERH],,BITTER,,
"amargo, agrio; hiel",,BITTER,,
amargo,,BITTER,887,BITTER
"amargo, hiel",,BITTER,887,BITTER
amargo; hiel,,BITTER,887,BITTER
amargo; hiel [ETR],,BITTER,887,BITTER
"amarillo, dorado, maduro",,YELLOW,,
"amarillo, maduro",,YELLOW,,
amarillo,,YELLOW,1424,YELLOW
amarlo,,,,
amar,,PAIN,,
"amar, pedir, querer",,,,
amarrado (animal) contra un palo,,"THROW, SHOOT",,
"amarrado, apretado",,,,
amarrado con varios nudos [ETR],,"ROLL, WRAP",,
amarrado [ETR],,TIE,,
amarrado,,STRETCH,,
amarrado,,TIE,,
amarrar carrizo,,BRAID,,
amarrar centavos en tela [ETR],,THEFT,,
amarrar,,GRAB,1094,FASTEN
"amarrarlo [ERH,-ETR]",,TIE,,
amarrarlo [ETR],,MOULD,,
amarrarlo [ETR],to twist it [ETR],TWIST,,
amasar,,,274,KNEAD
amigo,,,1325,FRIEND
"amigo, compan*ero",,,,
"amigo,compan*ero",,,,
"amo, duen*o, sen*or",,FATHER,,
amol,,,,
"amole, jabo*n",,,,
amole,soap-root,soaproot,,
amol,,soaproot,,
,among,BETWEEN,,
amontonado [ERH],,,,
"amontonado [ERH,-ETR]",,GATHER,,
"amontonado [ERH,-ETR]",,stretched out (snake),,
amontonado,,GATHER,,
amontonado,gathered close together,STRAIGHTEN,,
amontonar,,,1576,PILE UP
amontonar,,BEND,1576,PILE UP
amontonar,,GATHER,1576,PILE UP
amor,,EAT,923,LOVE
amplio,,BIG its FACE = wide,1243,WIDE
amplio,,BREAK,1243,WIDE
ampolla,,,1584,BLISTER
"amulet, substitute",,CHANGE,,
anaranjado,,YELLOW,,
ancho,,,2531,BROAD
ancho,,BIG,2531,BROAD
ancho,,BIG its FACE = wide,2531,BROAD
ancho,,FACE,2531,BROAD
anda; camilla,,"CARRY, LOAD",,
andar abrazando nene [ERH],,"CARRY, LOAD",,
andar tapar para que no pase,,PUSH,,
andasolo,,COATI,,
"an*edir, ""en*edir""",,MOULD,,
'an*edir',,MOULD,,
angosto,,,,
"angosto, estrecho",,,1267,NARROW
anguila,,HAWK,1013,FRESHWATER EEL
anguila,,SNAKE FISH = `eel',1013,FRESHWATER EEL
anguilla,,,1013,FRESHWATER EEL,
anguilla [ETR] [ERH],,SNAKE FISH = `eel',1013,FRESHWATER EEL
anillo,,RING,1374,RING
a*nima,,,,
,[*animal],ANIMAL,619,ANIMAL
animal,,ANIMAL,619,ANIMAL
animal companion spirit,,SLEEP,,
animal de caza que se encuentra en el monte [ETR],game [ETR],GRAB,,
animal de la colmena [ETR],,ANIMAL,,
animal dome*stico,,ANIMAL,,
animal dome*stico,,PET,,
animal [ERH],,ANIMAL,,
animales,,BEND,,
"animales, cargas",,VEINTENA // SCORE,,
"animales: mono, mapache, crochemonte [ERH]",,KINKAJOU ,,
"animal que pica [como garrapata, talaje] [ETR]",one-eyed [ETR],BEDBUG,,
a*nimo,,MIDDLE,,
,annatto,ANNATTO,349,ACHIOTE
ano,,ARSE,1935,ANUS
anochecer,,BIG NIGHT = `dawn',,
anochecer,,NIGHT,,
anoche,,NIGHT,,
an*o [ETR],,YEAR,1226,YEAR
"ano, fundillo",,ARSE,,
"ano, fundillo, nalgas",,ARSE,,
anona,,,,
anona de tierra caliente,,,,
anona de tierra caliente,,SOURSOP,,
anona de tierra fri*a,,,,
anona de tierra fri*a,,SOURSOP,,
anona,,SOURSOP,,
an*o nuevo [ETR],,,,
an*o,,ONE,1226,YEAR
an*o,,YEAR,1226,YEAR
,ant,ANT,587,ANT
anteayer,,TWO,1180,DAY BEFORE YESTERDAY
"anteojo, lente [ETR] [ERH]",,MIRROR,,
anteojo,,MIRROR,,
antepasados,,PIP of PUMPKIN,1669,ANCESTORS
antepasados,,UNDER,1669,ANCESTORS
anteriormente,,,,
anteriormente,,LONG,,
antes,,,,
"antes, hace tiempo",,,,
,ant [ETR],ANT,587,ANT
antier,,SUN,1180,DAY BEFORE YESTERDAY
antier,,TWO,1180,DAY BEFORE YESTERDAY
antorcha,,FIRE,1919,TORCH
,(any) blossom [no matter how puny or ugly] [ETR],FLOWER,,
anzuelo,,,1074,FISHHOOK
apagarlo [ETR],,QUENCH,,
apagar,,QUENCH,127,EXTINGUISH
apagarse,,DIE,2209,BECOME EXTINGUISHED
"apagarse [ETR,ERH]",,QUENCH,,
apagarse,,QUENCH,2209,BECOME EXTINGUISHED
apagarse; secarse,[stop raining],QUENCH,,
aparecerse,,,,
apazate,,SNAIL,,
apazote,,GOOSEFOOT ,,
apazote,,SNAIL,,
"apestoso, ""apesta""",,BAD-SMELLING,,
"apestoso, hediondo",,BAD-SMELLING,,
"apestoso,hediondo",,BAD-SMELLING,,
"apestoso, heriondo",,BAD-SMELLING,,
aplastar,,BREAK,,
aplastar,,HIT,,
aplastar,,TRAP,,
aprender,,,504,LEARN
apretado,,,,
apretar,,,1414,SQUEEZE
apretar con las manos,,CLENCH,,
apretar culo para que no salga pedo,,,,
"apurar, exigir",,EARLY,,
apurarse,,EARLY,2860,BOLT (MOVE IN HASTE)
aquel,,,78,THAT
aquel,,distal,78,THAT
aquello,,,,
aqui*,,,,
aqui*,here,BE.THERE,136,HERE
aqui*,,proximal,,
arador,,,,
aran*a,,CRAWFISH,,
aran*a [ETR],,SPIDER,,
aran*a,,SPIDER,,
aran*a,,TIE,,
aran*a,,WEAVE,,
a*rbol de amate,,FICUS,,
a*rbol de primavera [ERH],,FLOWER,,
"arbo*l de ramos, palo ramo*n",,,,
a*rbol para barrer (ramas),,SWEEP,,
arco,,BLOWGUN,876,ARCH
"arco, flecha",,SPEAR,,
arco iris,,RAINBOW,1733,RAINBOW
arco iris,,THUNDER,1733,RAINBOW
arco,,SPEAR,876,ARCH
arco,,taut,876,ARCH
arco y flecha,,"THROW, SHOOT",,
"arder bien, crepitar","to sputter, crackle",BURN,,
arder,,BURN,2102,BURN
arder,,MIRROR,2102,BURN
ardilla [ETR],,SQUIRREL,,
ardilla grande gris,,SQUIRREL,,
ardilla,,SQUIRREL,1628,SQUIRREL
arena,,DUST,671,SAND
arena [ETR] [ERH],,DUST,,
arena,,SAND,671,SAND
arena,sand,SAND,671,SAND
arete,,EAR,770,EARRING
Argentine ant,,ANT,,
"arista/punta de palma, etc.",,,,
,armadillo,ARMADILLO,1885,ARMADILLO
armadillo,,ARMADILLO,1885,ARMADILLO
armadillo [ETR],,ARMADILLO,1885,ARMADILLO
armadillo,,FOX,1885,ARMADILLO
armado,,,,
armado,,ARMADILLO,,
armarlo [ETR],to load a gun [ETR],OVER,,
arrancar,,,1455,PULL
(ar)rancar,,BARK,,
"arrancar, cavar",,,,
arrancar la cubierta,,"SCRAPE, SCRATCH",,
arrancarlo,,,,
(ar)rancar,,SMOOTH,,
arrastrar,,,2030,DRAG
arrastrar,,PULL,2030,DRAG
arrear,,,,
"arrecho, trabajador",,ITCH,,
arreglar,,,,
arreglar pelo,,TWIST,,
arriba; cielo,,SKY,,
"arriba, encima",,OVER,1591,UP
arriba,,LADDER,1591,UP
arriba,,OVER,1591,UP
arriba,,SKY,1591,UP
arriero [ERH],,"CARRY, LOAD",,
arriero [ERH],,OVER,,
arrodillado,,BEND,,
arrollarlo [ERH],,PEEL,,
"arrollarlo [pantalo*n] [ERH,-ETR]",,PEEL,,
arrollar,,"ROLL, WRAP",,
arroyo,,,3311,FLOWING BODY OF WATER
"arroyo (""camino de agua"")",,"ROAD of WATER = streambed, ditch",,
arroyo [ETR],,BRIDGE,3311,FLOWING BODY OF WATER,
arroyo; 'sale un poco de agua en algun ladero/cerro' [ETR],,BIG ROAD = `street',,
[a]rrugado,,,,
arrugado,,wrinkled,380,WRINKLED
arrugar,,,,
arrugarse,,,,
arrugar,,wrinkled,,
,"arse, bottom",ARSE,,
"artesano, artista",,,,
"artesano, artista",,BREAK,,
"artesano, artista",,MOULD,,
"artesano, artista",,WEAVE,,
asa de cubeta,,GRAB,,
asado,,ROAST,,
asar,,EAT,1962,ROAST (SOMETHING)
asarlo [ETR],,EAT,,
asar,,ROAST,1962,ROAST (SOMETHING)
asesino,,DIE,,
asesino [ERH],,BREAK,,
asi*,,,,
asi*,,distal,,
asiento,,BOARD,,
"asientos, diarrea",,,,
asiento sin patas,,BOARD,,
,asking permission [ETR],,,
,ask to borrow,NOT to TAKE,,
aspirar,,CHOKE,3135,VACUUM (SOMETHING)
asqueroso,,,,
asqueroso,,BAD-SMELLING,,
,ass-hole [ETR],,,
"astuto, cauteloso, man*oso a*bil, artista, industrioso, ingenioso para bien y para mal, y sabio assi*",,AWAKE,,
"atajar, mirar",,,,
ataque,,WIND,722,ATTACK
atardecer,,BIG NIGHT = `dawn',,
atol !,,,,
atol,,,,
atole,,,,
atole blanco o de ceniza,,,,
atole de elote,,,,
atole de masa,,,,
atol [ETR]; cualquiera bebida [ERH],,,,
atormentar,,PAIN,,
atrasarse,,REMAIN,,
atra*s,,BACK,,
atra*s de,,BACK,,
atra*s,,TURN,,
atravesado,,CUT,,
"aturdido, sonso",,CRAZY,,
"aturdido, sonso",,DUMB,,
aullar,,"CALL, YELL, SHOUT",526,HOWL
"aullar [ETR,-ERH]",(howl) [ETR],BARK,,
aumentar,,TRADE,2134,RAISE (BRING UP)
autoridades,,WORK,,
avena/tierra amontonadito [ERH],junk that falls off a tree [ETR],BEND,,
ave nocturna del monte,,DOVE,,
avergonzar [ETR] [ERH],,SHAME,,
,a very unpleasant belch from indigestion [ETR],SMELL,,
avispa amarilla,,STAFF,,
avispa amarilla,,WASP,,
avispa grande [ERH],,WASP,,
avispa grande que pica (= guitarro*n?),,WASP,,
"avispa, mosco*n",,WASP,,
avispa negra,,,,
avispa negra,,WASP,,
avispa panal,,WASP,,
avispa,,WASP,1517,WASP
,avocado,AVOCADO,3725,AVOCADO
axe,,AXE,,
"axila, sobaco",,ARMPIT,1886,ARMPIT
"axila, sobaco",,UNDER,1886,ARMPIT
,"a yawn, yawning [ETR]",YAWN,,
ayer,,NIGHT,1174,YESTERDAY
ayer,,YESTERDAY,1174,YESTERDAY
"ayote, calabaza",,PIP of PUMPKIN,,
"ayote, calabaza",,SQUASH,,
ayote de tierra fri*a,,PIP of PUMPKIN,,
ayote,,SQUASH,,
ayudar,,HELP,1897,HELP
ayudarle [ETR],,HELP,,
ayudarlo,,HELP,,
"ayunar, aguantar hambre",,PAIN,,
ayuno,,,,
"ayuno, rezo",,,,
ayuntamiento [ERH],,WORK,,
azarear [ETR],,SHAME,,
azarear,,SHAME,,
azotar,,HIT,2630,WHIP
"azote, cuero",,SKIN,,
"azu*car, dulces",,WASP,,
azul,,,837,BLUE
azulejo,,,,
azul,,GREEN,837,BLUE
baba,,BUBBLE,,
baba,,SPITTLE,,
baba,,WATER of MOUTH = `drool',,
back,,BACK,,
,"back, peel(ing)",BACK,,
bailar,,DANCE,1879,DANCE
baile comu*n,,DANCE,,
baile,,DANCE,,
"baile, danza",,DANCE,,
bajada,,GO.DOWN,,
bajare* [ERH],,BREAK,,
"bajareque, zarza",,MOULD,,
bajar,,GO.DOWN,2014,GO DOWN (DESCEND)
"bajarlo, hacerlo caer [ERH]",,GO.DOWN,,
"bajarse [ERH,-ETR], caerse [ETR] [ERH], bajar [ri*o [ETR]",,GO.DOWN,,
bajar (se),,GO.DOWN,,
bajarse,,GO.DOWN,,
bajar,,TAKE,2014,GO DOWN (DESCEND)
bajo (de altura),,LOOSE,,
bajo,,LOOSE,721,LOW
balsa,,,1664,RAFT
balsa,,LOOSE,1664,RAFT
balsa (para navegar),,GOURD,,
ban*ador,,,,
"banano, guineo",,,,
"banano, guineo",,EAT,,
"banano, guineo",,MANY TREEs = woods,,
"banano, guineo",,marmalade fruit,,
ban*ar,,,,
ban*arse,,,,
banarse,,,,
banarse,to bathe oneself,,,
banco; altar,,BOARD,,
"banco, asiento",,BOARD,,
banco,,BOARD,1284,BANK
banco,,BRIDGE,1284,BANK
banco (para sentarse),,BOARD,,
"banda, faja",,ROPE,,
ban*o,,,,
banquito,,BOARD,2058,STOOL
barba,beard,HAIR of HEAD,678,BEARD
"barbacoa, cama, lecho hecho de varas",,BED,,
barba,,HAIR,678,BEARD
barba,,HAIR of HEAD,678,BEARD
"barba, pelo",,HAIR,,
"barba, pelo",,HAIR of HEAD,,
barba; quijada (L),,HAIR of HEAD,,
,barking,BARK,,
barranco,,,1930,RAVINE
barranco,,BIG MOUNTAIN = volcano,1930,RAVINE
barranco,,EARTH,1930,RAVINE
barranco,,LANDSLIDE,1930,RAVINE
"barrer, limpiar",,SWEEP,,
barrer,,SWEEP,230,SWEEP
barriga,,,1251,BELLY
barriga[afuera[,,,,
[barriga] inflamado [ERH],,SWELL,,
barriga,"[in phrases also = `mind, heart']",,1251,BELLY
"barriga, panza",,,1251,BELLY
barriga (sic),,WORM,,
"barriga, tripas",,,,
"barriga, vientre",,,1251,BELLY
"barriga, vientre, tripas",,,,
barro,,,1399,CLAY
barro,,MOULD,1399,CLAY
barro,,MUD,1399,CLAY
barro que sale en la cara,,EAT,,
"basilisco, cuatete",,cock(scomb),,
"basilisco, cuatete, salamanquesa",,cock(scomb),,
bastante,,,,
bastante,,GROW,,
"bastante, mucho",,GROW,,
"basto*n, bordo*n",,"ROLL, WRAP",,
"basto*n, bordo*n",,STAFF,,
basto*n,,STAFF,,
basura,,,909,GARBAGE
basura,,GATHER,909,GARBAGE
basura,,SWEEP,909,GARBAGE
basura,,TASTELESS,909,GARBAGE
,bat,BAT,1793,BAT
batea,,,,
"batea, tabla",,,,
"batirlo [ERH,-ETR]",,BETWEEN,,
"bat, month name",,BAT,,
bautizarlo con agua bendita [ETR],,,,
bautizo [ETR],,,,
bead; moon,,,,
,bean pod [ETR],,,
beans,,,,
beberlo [ERH]; tomarlo [ETR],to drink it [ETR],DRINK,,
"beberlo, tomarlo",,DRINK,,
beber,to drink,DRINK,1401,DRINK
"beber, tomar",,DRINK,1401,DRINK
"beber, tomar li*quidos",,DRINK,,
bebida,,DRINK,731,BEVERAGE
bebida ordinaria,,,,
,bed,BED,1663,BED
,bedbug,BEDBUG,1949,BEDBUG
,beeswax [ETR] [ERH],WASP,,
,beggar [ETR],,,
bejuco largo - forma de cable [ETR],,ROPE,,
"bejuco, mecate",,ROPE,,
"bejuco, pita, mesate",,ROPE,,
"bejuco, pita",,ROPE,,
bejuco,,ROPE,,
bejuco (varias clases),,ROPE,,
bejuco (varias clases),,VINE,,
bejuco,vine,VINE,,
,belch(ing),FART,,
,"below, under",UNDER,1485,BELOW OR UNDER
bench,,BOARD,,
bendecir,,,391,BLESS
"bendecir, bendicio*n [ERH]",,SUN,,
bendecir [esposados] [ETR],to bless [spouses] (in a ceremony) [ETR],SUN,,
"bendecirlo [ERH,-ETR]",,SUN,,
bendecirlo [ERH],,SUN,,
bendecirlo,,SUN,,
,bend/fold over; face down,BEND,,
bendicio*n [ERH],,,,
bendicio*n [ERH],,SUN,,
"Benito Jua*rez, Chis.",,,,
,"bent over, crouching, on all fours, kneeling",BEND,,
,"bereft (orphan, widow)",bereft/poor,,
berro [ERH],,NIGHTSHADE ,,
besar,,,578,KISS
beso,,,,
,"bewitched, hexed [ETR]",GO.IN,,
bien amarrado (bolsita,,TIE,,
"(bien) cambiad(it)o [ropa [ERH,-ETR]",,CHANGE,,
bien,,NOT GOOD,,
bien pisoteado/(a)plastado,,,,
bien prensado [ERH],,,,
bie*n quemado -- hasta polvo [ETR],,CHARCOAL,,
,big [ETR],BIG,,
,big (ones),BIG,,
bigote,,HAIR of HEAD,1165,MOUSTACHE
,big toe [ETR],MOTHER,,
bilis,,BITTER,,
"bilis, hiel",,BITTER,,
bird; omen,,BIRD,,
,bird species [ETR],JAGUAR,,
"bisnieto, entenado/a de mujer, (""segundo hijo"")",,FEMALE CONNECTED KIN,,
"biting, gnawing",,EAT,,
,bitter,BITTER,887,BITTER
,black,BLACK,163,BLACK
blanco [ETR],,WHITE,,
blanco; limpio,,WHITE,,
blanco,,WHITE,1335,WHITE
"blando, tierno",,SOFT,,
,blanket [ETR],CLOTHING; COTTON,,
,blanket [ETR],HAIR,,
bledo,,PIGWEED ,,
bledo,pigweed,PIGWEED ,,
blind,,BLIND,,
,blood,BLOOD,946,BLOOD
blusa [ETR],,BLOUSE,,
"boca abajo, embrocado",,BEND,,
boca arriba,,,,
"boca arriba [ERH,-ETR]",,SPREAD,,
boca arriba [ETR],,FACE.UP,,
boca arriba,,FACE.UP,,
boca arriba,,GOURD,,
"boca, labios",,MOUTH,,
"boca,labios",,MOUTH,,
boca,,MOUTH,674,MOUTH
